"ID","Dir","Length","Field_1","FRAN_DATUM","allCykelbana","TILL_DATUM","SHAPE_LEN","dist","AB_BilSkyltHast","BA_BilSkyltHast","remove","GC_samtl","Link Type","Riktning","Dir2","Tunnel","Motorväg","Motortrafikled","Förbjuden färdriktning","Skaft","Skaft_ID","bridge","AB_slope","BA_slope","AB_höjd10-35","BA_höjd10-35","AB_höjd35-50","BA_höjd35-50","AB_höjd>50","BA_höjd>50","GCM_typ","NyCykelBana","NyCykelFält","BreddaLänk","link_type","cykelbana","cykelfält","gångbana","trappa","annan cykel","ID_copy","N_ickebostad","AB_nedlutning","BA_nedlutning","AB_upplutning","BA_upplutning","AB_cykelspeed","BA_cykelspeed","AB_cykelrestid","BA_cykelrestid","From Z","To Z","AB_GK_Dansk","BA_GK_Dansk","AB_GK_Broach","BA_GK_Broach","AB_förbjud","BA_förbjud","N_lane","bredd","bredd_typ","AB_MättFlöden","BA_MättFlöden","count_stations","From ID","To ID"
5589035,0,0.063215,,20060510,0,99991231,63.16145197060,0.00000000000,30.00000000000,,,,0,"Med",1,,,,"Mot",0,,0.000000,-3.641462,3.641462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,,3,0,0,0,0,0,5589035,0,0.364146,0.000000,0.000000,0.364146,15.612719,15.133937,0.242731,0.250410,5.220000,4.990000,0.087140,0.373073,0.373073,0.094822,0,1,4,14.000000,6,,,,84853,84842
5589047,0,0.058363,,20060510,0,99991231,58.39880532850,0.00000000000,30.00000000000,30.00000000000,,,0,"Med och mot",0,,,,"Med",0,,0.000000,-14.212618,14.212618,0.000000,0.830000,0.000000,0.000000,0.000000,0.000000,0,,,,3,0,0,0,0,0,5589047,2,1.421262,0.000000,0.000000,1.421262,16.561626,14.726786,0.211569,0.237929,4.770000,3.940000,0.075953,0.104506,0.104506,0.087544,0,0,2,7.000000,4,,,,110152,99240
5589062,0,0.063065,,20060510,0,99991231,63.05167262230,0.00000000000,,5.00000000000,,,0,"Mot",-1,,,,"Med",0,,0.000000,40.125822,-40.125822,0.000000,0.000000,2.530000,0.000000,0.000000,0.000000,0,,,,3,0,0,0,0,0,5589062,5,0.000000,4.012582,4.012582,0.000000,13.857620,19.131190,0.272998,0.197745,2.790000,5.320000,0.464916,0.070991,0.070991,0.094597,1,0,2,7.000000,4,,,,69596,69597
5588217,0,0.021901,,20060510,0,99991231,21.92225902050,0.00000000000,30.00000000000,,,,0,"Med",1,,,,"Mot",0,,0.000000,44.703423,-44.703423,0.000000,0.000000,0.980000,0.000000,0.000000,0.000000,0,,,,3,0,0,0,0,0,5588217,1,0.000000,4.470342,4.470342,0.000000,14.239067,19.194939,0.092375,0.068525,4.240000,5.220000,0.055703,0.102092,0.102092,0.032852,0,1,2,7.000000,4,,,,44451,84853
5588705,0,0.028791,,20060510,0,99991231,28.79438479050,0.00000000000,,30.00000000000,,,0,"Mot",-1,,,,"Med",0,,0.000000,45.494971,-45.494971,0.000000,0.000000,1.310000,0.000000,0.000000,0.000000,0,,,,3,0,0,0,0,0,5588705,1,0.000000,4.549497,4.549497,0.000000,14.156533,19.356480,0.122040,0.089255,3.910000,5.220000,0.211951,0.032043,0.032043,0.043187,1,0,2,7.000000,4,,,,84852,84853
5588953,0,0.027974,,20160803,0,99991231,27.97167576300,0.00143348869,30.00000000000,30.00000000000,,,0,"Mot",-1,,,,,0,,0.000000,102.961301,-102.961301,0.000000,0.000000,0.000000,0.000000,2.880000,0.000000,0,"Skeppsbron -Norrgående",,,3,0,0,0,0,0,5588953,0,0.000000,8.000000,8.000000,0.000000,13.707793,22.818660,0.122434,0.073549,2.980000,5.860000,0.340808,0.026404,0.026404,0.041961,1,0,2,7.000000,4,,,,105079,172756
5588960,0,0.017292,,20060510,0,99991231,17.26529514530,0.00000000000,,30.00000000000,,,0,"Mot",-1,,,,"Med",0,,0.000000,45.177318,-45.177318,0.000000,0.000000,0.780000,0.000000,0.000000,0.000000,0,,,,3,0,0,0,0,0,5588960,0,0.000000,4.517732,4.517732,0.000000,14.308184,19.211398,0.072400,0.053922,5.610000,6.390000,0.125806,0.019358,0.019358,0.025938,1,0,4,14.000000,6,,,,110241,92209
5588978,0,0.029210,,20060510,0,99991231,29.16067758140,0.00000000000,30.00000000000,30.00000000000,,,0,"Med och mot",0,,,,"Med",0,,0.000000,29.491767,-29.491767,0.860000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,,3,0,0,0,0,0,5588978,1,0.000000,2.949177,2.949177,0.000000,14.385928,17.762156,0.121622,0.098504,3.910000,4.770000,0.063442,0.035363,0.035363,0.043815,0,0,2,7.000000,4,,,,84852,110152
5588205,0,0.020841,,20060510,0,99991231,20.86130827600,0.00000000000,30.00000000000,,,,0,"Med",1,,,,"Mot",0,,0.000000,62.316331,-62.316331,0.000000,0.000000,0.000000,0.000000,1.300000,0.000000,0,,,,3,0,0,0,0,0,5588205,1,0.000000,6.231633,6.231633,0.000000,14.066336,20.941737,0.088984,0.059770,4.240000,5.540000,0.103445,0.089048,0.089048,0.031261,0,1,2,7.000000,4,,,,44451,155232
5588984,0,0.030776,,20060510,0,99991231,30.77656985410,0.00000000000,5.00000000000,,,,0,"Med",1,,,,"Mot",0,,0.000000,-17.870744,17.870744,0.000000,0.550000,0.000000,0.000000,0.000000,0.000000,0,,,,3,0,0,0,0,0,5588984,4,1.787074,0.000000,0.000000,1.787074,16.545606,14.485319,0.111606,0.127480,5.320000,4.770000,0.040067,0.202577,0.202577,0.046165,0,1,2,7.000000,4,,,,69597,110152
5588969,0,0.011231,,20060510,0,99991231,11.22203183260,0.00000000000,,30.00000000000,,,0,"Mot",-1,,,,"Med",0,,0.000000,34.753095,-34.753095,0.390000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,,3,0,0,0,0,0,5588969,0,0.000000,3.475310,3.475310,0.000000,14.430664,18.097499,0.046659,0.037205,5.220000,5.610000,0.078485,0.013357,0.013357,0.016846,1,0,4,14.000000,6,,,,84853,110241
5589790,0,0.018464,,20130701,0,99991231,18.42624391940,0.00000000000,,,,,3,,,,,,"Mot",0,,0.000000,56.983926,-56.983926,0.000000,0.000000,0.000000,0.000000,1.050000,0.000000,3,"Skeppsbron - södergående",,,2,0,1,0,0,0,5589790,0,0.000000,5.698393,5.698393,0.000000,14.187115,20.404809,0.077928,0.054182,3.940000,4.990000,0.064660,0.004804,0.004804,0.022711,0,0,4,14.000000,6,,,,99240,84842
